Period,Value
Q1-1956,NA
Q2-1956,NA
Q3-1956,NA
Q4-1956,NA
Q1-1957,NA
Q2-1957,NA
Q3-1957,NA
Q4-1957,NA
Q1-1958,NA
Q2-1958,NA
Q3-1958,NA
Q4-1958,NA
Q1-1959,NA
Q2-1959,NA
Q3-1959,NA
Q4-1959,NA
Q1-1960,NA
Q2-1960,NA
Q3-1960,NA
Q4-1960,NA
Q1-1961,NA
Q2-1961,NA
Q3-1961,NA
Q4-1961,NA
Q1-1962,NA
Q2-1962,NA
Q3-1962,NA
Q4-1962,NA
Q1-1963,NA
Q2-1963,NA
Q3-1963,NA
Q4-1963,NA
Q1-1964,NA
Q2-1964,NA
Q3-1964,NA
Q4-1964,NA
Q1-1965,NA
Q2-1965,NA
Q3-1965,NA
Q4-1965,NA
Q1-1966,NA
Q2-1966,NA
Q3-1966,NA
Q4-1966,NA
Q1-1967,NA
Q2-1967,NA
Q3-1967,NA
Q4-1967,NA
Q1-1968,NA
Q2-1968,NA
Q3-1968,NA
Q4-1968,NA
Q1-1969,NA
Q2-1969,NA
Q3-1969,NA
Q4-1969,NA
Q1-1970,NA
Q2-1970,NA
Q3-1970,NA
Q4-1970,NA
Q1-1971,NA
Q2-1971,NA
Q3-1971,NA
Q4-1971,NA
Q1-1972,NA
Q2-1972,NA
Q3-1972,NA
Q4-1972,NA
Q1-1973,NA
Q2-1973,NA
Q3-1973,NA
Q4-1973,NA
Q1-1974,NA
Q2-1974,NA
Q3-1974,NA
Q4-1974,NA
Q1-1975,NA
Q2-1975,NA
Q3-1975,NA
Q4-1975,NA
Q1-1976,NA
Q2-1976,NA
Q3-1976,NA
Q4-1976,NA
Q1-1977,NA
Q2-1977,NA
Q3-1977,NA
Q4-1977,NA
Q1-1978,NA
Q2-1978,NA
Q3-1978,NA
Q4-1978,NA
Q1-1979,NA
Q2-1979,NA
Q3-1979,NA
Q4-1979,NA
Q1-1980,65.5
Q2-1980,65.6
Q3-1980,65.6
Q4-1980,65.6
Q1-1981,65.6
Q2-1981,65.4
Q3-1981,65.4
Q4-1981,65.3
Q1-1982,64.8
Q2-1982,65
Q3-1982,64.7
Q4-1982,64.7
Q1-1983,64.7
Q2-1983,64.7
Q3-1983,64.6
Q4-1983,64.6
Q1-1984,64.6
Q2-1984,64.6
Q3-1984,64.5
Q4-1984,64.3
Q1-1985,64.1
Q2-1985,64.1
Q3-1985,63.8
Q4-1985,63.6
Q1-1986,63.7
Q2-1986,63.8
Q3-1986,63.7
Q4-1986,63.9
Q1-1987,63.9
Q2-1987,63.9
Q3-1987,64.1
Q4-1987,64.1
Q1-1988,63.8
Q2-1988,63.8
Q3-1988,63.8
Q4-1988,63.8
Q1-1989,64
Q2-1989,63.9
Q3-1989,63.9
Q4-1989,63.7
Q1-1990,64.1
Q2-1990,63.9
Q3-1990,63.9
Q4-1990,64
Q1-1991,64
Q2-1991,64.1
Q3-1991,64.1
Q4-1991,64.1
Q1-1992,64.1
Q2-1992,64.1
Q3-1992,64.1
Q4-1992,64.3
Q1-1993,63.9
Q2-1993,64
Q3-1993,64
Q4-1993,64.1
Q1-1994,64
Q2-1994,63.9
Q3-1994,63.9
Q4-1994,64.1
Q1-1995,64.4
Q2-1995,64.7
Q3-1995,64.8
Q4-1995,65.1
Q1-1996,65.3
Q2-1996,65.4
Q3-1996,65.4
Q4-1996,65.4
Q1-1997,65.5
Q2-1997,65.7
Q3-1997,65.8
Q4-1997,65.8
Q1-1998,66
Q2-1998,66.1
Q3-1998,66.6
Q4-1998,66.5
Q1-1999,66.7
Q2-1999,66.7
Q3-1999,66.8
Q4-1999,66.9
Q1-2000,67.1
Q2-2000,67.3
Q3-2000,67.5
Q4-2000,67.5
Q1-2001,67.6
Q2-2001,67.8
Q3-2001,67.9
Q4-2001,67.9
Q1-2002,67.9
Q2-2002,67.8
Q3-2002,67.9
Q4-2002,68.2
Q1-2003,68.1
Q2-2003,68.2
Q3-2003,68.3
Q4-2003,68.5
Q1-2004,68.7
Q2-2004,69.4
Q3-2004,68.9
Q4-2004,69.1
Q1-2005,69.2
Q2-2005,68.7
Q3-2005,68.7
Q4-2005,68.9
Q1-2006,68.6
Q2-2006,68.8
Q3-2006,68.9
Q4-2006,68.8
Q1-2007,68.5
Q2-2007,68.3
Q3-2007,68
Q4-2007,67.8
Q1-2008,67.9
Q2-2008,68.1
Q3-2008,67.7
Q4-2008,67.5
Q1-2009,67.4
Q2-2009,67.4
Q3-2009,67.4
Q4-2009,67.2
Q1-2010,67.2
Q2-2010,66.9
Q3-2010,66.7
Q4-2010,66.5
Q1-2011,66.5
Q2-2011,66
Q3-2011,66.1
Q4-2011,65.9
Q1-2012,65.6
Q2-2012,65.6
Q3-2012,65.4
Q4-2012,65.3
Q1-2013,65.2
Q2-2013,65.1
Q3-2013,65.2
Q4-2013,65.1
Q1-2014,64.9
Q2-2014,64.8
Q3-2014,64.3
Q4-2014,63.9
Q1-2015,63.8
Q2-2015,63.5
Q3-2015,63.6
Q4-2015,63.7
Q1-2016,63.5
Q2-2016,63.1
Q3-2016,63.5
Q4-2016,63.5
Q1-2017,63.6
Q2-2017,63.9
Q3-2017,63.9
Q4-2017,64
Q1-2018,64.2
Q2-2018,64.5
Q3-2018,64.4
Q4-2018,64.6
Q1-2019,64.2
Q2-2019,64.3
Q3-2019,64.8
Q4-2019,65
Q1-2020,65.3
Q2-2020,68.1
Q3-2020,67.4
Q4-2020,65.7
Q1-2021,65.6
Q2-2021,65.6
Q3-2021,65.4
Q4-2021,65.4
Q1-2022,NA
Q2-2022,NA
Q3-2022,NA
Q4-2022,NA
